,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
innovations[4459],0.794,0.928,-0.931,2.513,0.014,0.017,4551.0,2226.0,1.0
innovations[4460],0.966,0.92,-0.684,2.775,0.013,0.019,4982.0,2155.0,1.0
innovations[4461],1.13,0.931,-0.566,2.906,0.014,0.018,4000.0,2110.0,1.0
innovations[4462],1.431,0.906,-0.369,3.08,0.015,0.017,3740.0,2136.0,1.0
innovations[4463],1.852,0.904,0.135,3.486,0.014,0.017,4079.0,2154.0,1.0
innovations[4464],-0.67,0.889,-2.28,1.051,0.015,0.017,3523.0,1850.0,1.0
innovations[4465],-1.033,0.885,-2.681,0.607,0.014,0.016,4071.0,2537.0,1.0
innovations[4466],-0.885,0.915,-2.769,0.69,0.015,0.017,3970.0,2074.0,1.0
innovations[4467],-0.82,0.911,-2.501,0.929,0.017,0.015,2722.0,2415.0,1.0
innovations[4468],-0.876,0.923,-2.644,0.783,0.014,0.017,4314.0,2327.0,1.0
innovations[4469],-0.74,0.945,-2.481,0.966,0.016,0.018,3612.0,2073.0,1.0
innovations[4470],-0.547,0.939,-2.34,1.173,0.014,0.017,4663.0,2096.0,1.0
innovations[4471],-0.418,0.935,-2.267,1.263,0.016,0.018,3542.0,2162.0,1.0
innovations[4472],-0.278,0.96,-2.063,1.587,0.013,0.019,5074.0,2367.0,1.0
innovations[4473],-0.204,0.975,-1.963,1.63,0.018,0.017,2909.0,2151.0,1.0
innovations[4474],-0.451,0.966,-2.219,1.315,0.014,0.021,4984.0,2142.0,1.0
innovations[4475],-0.365,0.958,-2.033,1.535,0.016,0.019,3644.0,2289.0,1.0
innovations[4476],-0.307,0.965,-2.088,1.494,0.014,0.02,4710.0,2255.0,1.0
innovations[4477],-0.212,0.998,-1.932,1.796,0.017,0.018,3383.0,2293.0,1.0
innovations[4478],-0.134,0.956,-1.817,1.776,0.014,0.019,4538.0,2190.0,1.0
innovations[4479],-0.048,0.991,-1.989,1.815,0.016,0.019,3888.0,2391.0,1.0
innovations[4480],0.759,0.888,-0.878,2.439,0.016,0.017,3070.0,2021.0,1.0
innovations[4481],0.3,0.792,-1.223,1.772,0.013,0.015,3583.0,2429.0,1.0
innovations[4482],0.094,0.795,-1.375,1.578,0.012,0.014,4274.0,2425.0,1.0
innovations[4483],0.206,0.779,-1.258,1.679,0.014,0.015,3139.0,2177.0,1.0
innovations[4484],0.125,0.779,-1.362,1.582,0.012,0.014,3974.0,2285.0,1.0
innovations[4485],0.095,0.767,-1.378,1.45,0.014,0.013,3000.0,2301.0,1.0
innovations[4486],0.191,0.787,-1.252,1.698,0.012,0.015,4018.0,2134.0,1.0
innovations[4487],0.071,0.787,-1.329,1.664,0.013,0.017,3441.0,1842.0,1.0
innovations[4488],0.306,0.771,-1.04,1.793,0.016,0.014,2472.0,1874.0,1.0
innovations[4489],-0.456,0.778,-1.885,0.998,0.014,0.014,3210.0,1964.0,1.0
innovations[4490],0.309,0.76,-1.101,1.726,0.014,0.013,2936.0,2099.0,1.0
innovations[4491],-0.263,0.753,-1.655,1.134,0.014,0.014,3085.0,2162.0,1.0
innovations[4492],-0.083,0.768,-1.481,1.365,0.013,0.014,3646.0,2340.0,1.0
innovations[4493],0.043,0.768,-1.332,1.572,0.013,0.014,3484.0,2038.0,1.0
innovations[4494],0.179,0.803,-1.332,1.633,0.013,0.017,3751.0,2388.0,1.0
innovations[4495],0.174,0.789,-1.375,1.567,0.015,0.016,2803.0,1916.0,1.0
innovations[4496],-0.057,0.76,-1.464,1.318,0.013,0.013,3537.0,2151.0,1.0
innovations[4497],-0.015,0.771,-1.494,1.388,0.013,0.014,3701.0,2300.0,1.0
innovations[4498],0.022,0.774,-1.419,1.435,0.013,0.015,3301.0,1924.0,1.0
innovations[4499],0.051,0.754,-1.27,1.555,0.013,0.013,3383.0,2126.0,1.0
innovations[4500],0.136,0.755,-1.266,1.532,0.013,0.014,3405.0,2019.0,1.0
innovations[4501],0.077,0.747,-1.353,1.433,0.014,0.013,2785.0,1610.0,1.0
innovations[4502],-0.023,0.76,-1.509,1.361,0.014,0.013,3168.0,2251.0,1.0
innovations[4503],-0.055,0.76,-1.498,1.309,0.013,0.016,3264.0,1862.0,1.0
innovations[4504],-0.18,0.758,-1.58,1.217,0.013,0.014,3259.0,2069.0,1.0
innovations[4505],-0.401,0.8,-1.777,1.17,0.014,0.013,3096.0,2130.0,1.0
innovations[4506],0.01,0.751,-1.407,1.367,0.013,0.014,3194.0,2168.0,1.0
innovations[4507],0.055,0.805,-1.509,1.513,0.014,0.014,3371.0,2174.0,1.0
innovations[4508],-0.08,0.763,-1.423,1.417,0.014,0.014,3066.0,2226.0,1.0
innovations[4509],-0.025,0.772,-1.455,1.443,0.013,0.014,3414.0,2030.0,1.0
innovations[4510],-0.258,0.802,-1.773,1.237,0.014,0.016,3498.0,1978.0,1.0
innovations[4511],-0.061,0.784,-1.492,1.46,0.014,0.013,3161.0,2113.0,1.0
innovations[4512],-0.177,0.802,-1.67,1.293,0.013,0.014,3739.0,2407.0,1.0
innovations[4513],0.565,0.783,-0.949,1.964,0.015,0.013,2854.0,2196.0,1.0
innovations[4514],0.02,0.795,-1.509,1.432,0.013,0.014,3475.0,2302.0,1.0
innovations[4515],-0.171,0.789,-1.678,1.247,0.014,0.014,3355.0,2392.0,1.0
innovations[4516],-0.804,0.769,-2.274,0.606,0.013,0.014,3363.0,1902.0,1.0
innovations[4517],-0.253,0.831,-1.853,1.222,0.015,0.014,3298.0,2323.0,1.0
innovations[4518],0.079,0.798,-1.424,1.578,0.015,0.014,3012.0,2160.0,1.0
innovations[4519],0.199,0.815,-1.366,1.678,0.014,0.014,3279.0,2508.0,1.0
innovations[4520],-0.281,0.813,-1.74,1.289,0.014,0.016,3530.0,2296.0,1.0
innovations[4521],-0.224,0.81,-1.732,1.27,0.014,0.015,3306.0,2392.0,1.0
innovations[4522],0.043,0.8,-1.419,1.523,0.014,0.013,3242.0,2197.0,1.0
innovations[4523],0.683,0.82,-0.768,2.287,0.014,0.014,3529.0,2346.0,1.0
innovations[4524],-0.005,0.807,-1.44,1.531,0.013,0.015,3911.0,2430.0,1.0
innovations[4525],-0.036,0.828,-1.583,1.514,0.013,0.016,4018.0,2507.0,1.0
innovations[4526],-0.039,0.818,-1.649,1.443,0.014,0.016,3340.0,2247.0,1.0
innovations[4527],-0.13,0.795,-1.593,1.382,0.013,0.016,3684.0,2209.0,1.0
innovations[4528],0.1,0.834,-1.473,1.651,0.013,0.018,3946.0,2067.0,1.0
innovations[4529],-0.028,0.825,-1.497,1.667,0.013,0.017,3946.0,1960.0,1.0
innovations[4530],-0.036,0.816,-1.573,1.489,0.013,0.016,3786.0,2151.0,1.0
innovations[4531],-0.15,0.789,-1.599,1.32,0.014,0.014,3381.0,2215.0,1.0
innovations[4532],-0.039,0.82,-1.557,1.531,0.013,0.016,3987.0,2272.0,1.0
innovations[4533],-0.201,0.793,-1.595,1.306,0.013,0.014,3490.0,2325.0,1.0
innovations[4534],-0.542,0.807,-2.116,0.938,0.014,0.014,3342.0,2098.0,1.0
innovations[4535],-0.037,0.829,-1.625,1.52,0.014,0.015,3301.0,2567.0,1.0
innovations[4536],0.051,0.82,-1.536,1.512,0.013,0.015,3797.0,2203.0,1.0
innovations[4537],-0.101,0.819,-1.565,1.441,0.014,0.014,3532.0,2265.0,1.0
innovations[4538],-0.037,0.827,-1.627,1.401,0.014,0.014,3597.0,2225.0,1.0
innovations[4539],0.026,0.825,-1.46,1.666,0.015,0.014,2852.0,2504.0,1.0
innovations[4540],-0.181,0.84,-1.813,1.328,0.015,0.014,3219.0,2202.0,1.0
innovations[4541],-0.166,0.83,-1.653,1.46,0.014,0.014,3402.0,2415.0,1.0
innovations[4542],0.47,0.836,-1.063,2.015,0.013,0.015,3884.0,2297.0,1.0
innovations[4543],0.622,0.826,-0.896,2.173,0.013,0.015,3835.0,2216.0,1.0
innovations[4544],0.345,0.827,-1.316,1.827,0.014,0.017,3695.0,2013.0,1.0
innovations[4545],0.578,0.796,-0.825,2.102,0.014,0.015,3276.0,2185.0,1.0
innovations[4546],0.849,0.758,-0.662,2.144,0.013,0.013,3481.0,2464.0,1.0
innovations[4547],2.054,0.744,0.702,3.455,0.013,0.016,3434.0,1901.0,1.0
innovations[4548],0.897,0.664,-0.242,2.288,0.012,0.012,3213.0,1943.0,1.0
innovations[4549],0.186,0.663,-0.941,1.543,0.013,0.012,2628.0,2205.0,1.0
innovations[4550],-0.054,0.643,-1.237,1.195,0.014,0.012,2234.0,2037.0,1.0
innovations[4551],-0.09,0.645,-1.246,1.169,0.013,0.016,2623.0,1694.0,1.0
innovations[4552],0.17,0.638,-1.004,1.392,0.012,0.011,2846.0,2168.0,1.0
innovations[4553],-0.047,0.639,-1.187,1.189,0.012,0.011,3062.0,2032.0,1.0
innovations[4554],-0.607,0.637,-1.804,0.605,0.011,0.011,3132.0,2008.0,1.0
innovations[4555],-0.467,0.657,-1.643,0.818,0.013,0.011,2660.0,2396.0,1.0
innovations[4556],-0.557,0.668,-1.865,0.633,0.013,0.012,2496.0,2109.0,1.0
innovations[4557],0.049,0.697,-1.19,1.427,0.014,0.016,2585.0,2011.0,1.0
innovations[4558],0.978,0.656,-0.213,2.225,0.013,0.011,2674.0,2098.0,1.0
innovations[4559],2.003,0.597,0.919,3.175,0.011,0.01,2905.0,2223.0,1.0
innovations[4560],-0.047,0.567,-1.167,0.918,0.01,0.009,3010.0,2240.0,1.0
innovations[4561],-0.442,0.604,-1.62,0.625,0.01,0.01,3460.0,2419.0,1.0
innovations[4562],-0.628,0.663,-1.806,0.679,0.013,0.013,2746.0,1978.0,1.0
innovations[4563],0.022,0.956,-1.676,1.932,0.015,0.017,3996.0,2250.0,1.0
innovations[4564],0.11,0.961,-1.726,1.821,0.015,0.021,4279.0,2282.0,1.0
innovations[4565],0.203,0.964,-1.602,1.97,0.015,0.02,3999.0,2121.0,1.0
innovations[4566],0.248,0.974,-1.595,2.073,0.016,0.021,3649.0,1809.0,1.01
innovations[4567],0.369,0.939,-1.477,2.033,0.014,0.018,4390.0,2429.0,1.0
innovations[4568],0.473,0.952,-1.288,2.225,0.016,0.017,3736.0,2208.0,1.0
innovations[4569],0.217,0.979,-1.681,1.996,0.016,0.02,3766.0,1970.0,1.0
innovations[4570],0.344,0.948,-1.416,2.079,0.016,0.017,3684.0,2420.0,1.0
innovations[4571],0.158,0.933,-1.51,1.981,0.016,0.017,3482.0,1967.0,1.0
innovations[4572],-0.049,0.936,-1.881,1.651,0.014,0.018,4313.0,2085.0,1.0
innovations[4573],0.093,0.951,-1.672,1.905,0.016,0.018,3418.0,1958.0,1.0
innovations[4574],-0.074,0.951,-1.864,1.656,0.014,0.017,4418.0,2219.0,1.0
innovations[4575],0.026,0.951,-1.841,1.747,0.015,0.018,4098.0,2421.0,1.0
innovations[4576],0.215,0.942,-1.514,1.972,0.016,0.017,3554.0,2137.0,1.0
innovations[4577],0.007,0.93,-1.702,1.745,0.015,0.02,3827.0,2035.0,1.0
innovations[4578],-0.192,0.927,-2.001,1.467,0.014,0.017,4191.0,2081.0,1.0
innovations[4579],-0.038,0.934,-1.815,1.679,0.016,0.019,3629.0,2209.0,1.0
innovations[4580],0.12,0.938,-1.587,1.859,0.015,0.018,3933.0,2115.0,1.0
innovations[4581],0.268,0.949,-1.624,2.002,0.015,0.019,3988.0,1993.0,1.0
innovations[4582],0.451,0.926,-1.393,2.101,0.014,0.017,4388.0,2265.0,1.0
innovations[4583],-0.056,0.908,-1.654,1.681,0.014,0.018,4122.0,2334.0,1.0
innovations[4584],0.112,0.918,-1.646,1.78,0.015,0.016,3786.0,2247.0,1.0
innovations[4585],0.343,0.957,-1.556,2.016,0.014,0.018,4470.0,2092.0,1.0
innovations[4586],0.186,0.918,-1.529,1.939,0.014,0.018,4452.0,2146.0,1.0
innovations[4587],0.452,0.902,-1.165,2.159,0.016,0.017,3030.0,2050.0,1.0
innovations[4588],0.329,0.916,-1.411,1.991,0.016,0.016,3287.0,2314.0,1.0
innovations[4589],0.682,0.935,-1.029,2.456,0.015,0.021,3831.0,2135.0,1.0
innovations[4590],1.053,0.896,-0.648,2.727,0.016,0.019,3131.0,2265.0,1.0
innovations[4591],1.591,0.874,-0.131,3.152,0.016,0.016,3164.0,2314.0,1.0
innovations[4592],2.499,0.833,0.891,4.019,0.015,0.015,3058.0,2231.0,1.0
innovations[4593],-0.58,0.797,-2.145,0.855,0.013,0.017,3907.0,2273.0,1.0
innovations[4594],-1.497,0.823,-3.048,0.02,0.014,0.015,3489.0,2227.0,1.0
innovations[4595],-1.431,0.896,-3.038,0.294,0.016,0.016,3047.0,2183.0,1.0
innovations[4596],-1.118,0.898,-2.79,0.584,0.015,0.018,3713.0,2101.0,1.0
innovations[4597],-0.653,0.909,-2.489,0.861,0.015,0.016,3867.0,2214.0,1.0
innovations[4598],-0.268,0.941,-1.997,1.515,0.016,0.021,3657.0,2295.0,1.0
innovations[4599],-0.634,0.909,-2.344,1.045,0.014,0.017,4026.0,1983.0,1.0
innovations[4600],-0.739,0.904,-2.396,0.973,0.015,0.016,3809.0,2424.0,1.0
innovations[4601],-0.514,0.951,-2.326,1.227,0.015,0.018,4231.0,2159.0,1.0
innovations[4602],-0.36,0.904,-2.207,1.18,0.014,0.017,4211.0,2436.0,1.0
innovations[4603],-0.187,0.945,-1.989,1.559,0.015,0.019,3910.0,2244.0,1.0
innovations[4604],-0.043,0.93,-1.777,1.701,0.015,0.017,3670.0,2280.0,1.0
innovations[4605],-0.249,0.932,-2.048,1.442,0.016,0.019,3346.0,1734.0,1.0
innovations[4606],-0.108,0.954,-1.857,1.755,0.015,0.02,3995.0,1972.0,1.0
innovations[4607],0.024,0.922,-1.763,1.7,0.014,0.016,4133.0,2392.0,1.0
innovations[4608],-0.166,0.963,-1.869,1.67,0.016,0.019,3842.0,2195.0,1.0
innovations[4609],-0.428,0.924,-2.123,1.382,0.016,0.017,3220.0,2197.0,1.0
innovations[4610],-0.301,0.931,-2.013,1.445,0.015,0.018,3950.0,2366.0,1.0
innovations[4611],-0.574,0.944,-2.348,1.194,0.014,0.018,4443.0,2045.0,1.0
innovations[4612],-0.451,0.91,-2.12,1.267,0.015,0.017,3866.0,2381.0,1.0
innovations[4613],-0.42,0.92,-2.083,1.302,0.016,0.016,3122.0,2159.0,1.0
innovations[4614],-0.336,0.943,-2.081,1.437,0.015,0.02,3919.0,2036.0,1.0
innovations[4615],-0.28,0.979,-2.078,1.513,0.016,0.018,3629.0,1931.0,1.0
innovations[4616],-0.224,0.951,-2.026,1.538,0.016,0.018,3461.0,2298.0,1.0
innovations[4617],-0.204,0.948,-1.891,1.614,0.017,0.02,3177.0,2091.0,1.0
innovations[4618],-0.149,0.933,-1.846,1.685,0.015,0.018,4044.0,1865.0,1.0
innovations[4619],-0.092,0.971,-1.969,1.605,0.015,0.018,3960.0,2209.0,1.0
innovations[4620],-0.053,0.965,-1.801,1.801,0.015,0.02,4045.0,2249.0,1.0
innovations[4621],-0.037,0.961,-1.769,1.798,0.015,0.021,3945.0,1963.0,1.0
innovations[4622],0.024,0.956,-1.82,1.775,0.015,0.018,4035.0,2180.0,1.0
innovations[4623],0.039,1.009,-1.862,1.861,0.014,0.021,5022.0,1929.0,1.0
innovations[4624],0.1,0.978,-1.761,1.872,0.015,0.019,4011.0,2126.0,1.0
innovations[4625],0.15,0.98,-1.753,1.923,0.016,0.02,3939.0,2163.0,1.0
innovations[4626],0.197,0.993,-1.634,2.096,0.015,0.02,4276.0,2192.0,1.0
innovations[4627],0.224,0.998,-1.684,2.052,0.016,0.021,4007.0,2122.0,1.0
innovations[4628],0.28,0.973,-1.59,2.026,0.016,0.018,3883.0,2310.0,1.0
innovations[4629],0.326,0.969,-1.398,2.218,0.016,0.018,3821.0,2019.0,1.0
innovations[4630],0.395,0.977,-1.411,2.236,0.016,0.021,3809.0,2220.0,1.0
innovations[4631],0.472,0.962,-1.208,2.349,0.015,0.017,4228.0,2025.0,1.0
innovations[4632],0.53,0.952,-1.26,2.232,0.014,0.019,4403.0,2243.0,1.0
innovations[4633],0.652,0.939,-1.047,2.497,0.015,0.018,4123.0,2113.0,1.0
innovations[4634],0.759,0.953,-1.056,2.496,0.015,0.017,3951.0,2098.0,1.0
innovations[4635],-0.449,0.956,-2.298,1.244,0.015,0.02,4361.0,1842.0,1.0
innovations[4636],-0.657,0.993,-2.669,1.037,0.017,0.018,3315.0,2322.0,1.0
innovations[4637],-0.558,0.958,-2.335,1.174,0.015,0.02,3965.0,2138.0,1.0
innovations[4638],-0.5,0.994,-2.317,1.375,0.015,0.02,4560.0,2086.0,1.0
innovations[4639],-0.414,0.991,-2.178,1.528,0.016,0.019,3717.0,2155.0,1.0
innovations[4640],-0.331,0.989,-2.136,1.557,0.016,0.017,3876.0,2609.0,1.01
innovations[4641],-0.286,0.958,-2.04,1.55,0.016,0.017,3817.0,2029.0,1.0
innovations[4642],-0.215,0.938,-2.006,1.448,0.014,0.017,4258.0,2299.0,1.0
innovations[4643],-0.151,1.005,-2.086,1.663,0.015,0.019,4787.0,2286.0,1.0
innovations[4644],-0.099,0.976,-1.991,1.642,0.013,0.019,5514.0,2277.0,1.0
innovations[4645],-0.066,0.963,-1.84,1.683,0.015,0.017,3923.0,2520.0,1.0
innovations[4646],-0.965,0.897,-2.64,0.74,0.015,0.016,3417.0,2395.0,1.0
innovations[4647],-0.695,0.968,-2.358,1.39,0.015,0.021,3977.0,1697.0,1.0
innovations[4648],-0.813,0.951,-2.641,0.998,0.017,0.018,3123.0,1947.0,1.0
innovations[4649],-0.663,0.959,-2.443,1.117,0.015,0.019,4032.0,2088.0,1.0
innovations[4650],-0.511,0.939,-2.169,1.357,0.015,0.02,3913.0,2028.0,1.0
innovations[4651],-0.381,0.934,-2.196,1.288,0.015,0.016,3895.0,2265.0,1.0
innovations[4652],-0.282,0.95,-2.003,1.534,0.016,0.017,3712.0,2282.0,1.0
innovations[4653],-0.208,0.946,-1.91,1.596,0.016,0.022,3403.0,1754.0,1.0
innovations[4654],-0.118,0.957,-1.928,1.623,0.016,0.018,3822.0,2405.0,1.0
innovations[4655],-0.038,0.953,-1.787,1.734,0.014,0.019,4513.0,2192.0,1.0
innovations[4656],0.061,0.929,-1.691,1.804,0.015,0.018,4059.0,2220.0,1.0
innovations[4657],0.102,0.955,-1.754,1.783,0.014,0.019,4557.0,2144.0,1.0
innovations[4658],-0.145,0.954,-1.893,1.577,0.014,0.018,4630.0,2330.0,1.0
innovations[4659],-0.043,1.003,-1.926,1.831,0.015,0.021,4712.0,2150.0,1.0
innovations[4660],-0.306,0.929,-2.056,1.378,0.015,0.018,3858.0,1982.0,1.0
innovations[4661],-0.218,0.96,-1.924,1.666,0.015,0.02,4289.0,2185.0,1.0
innovations[4662],-0.167,0.96,-2.005,1.579,0.015,0.018,4275.0,2443.0,1.0
innovations[4663],-0.112,0.934,-1.757,1.745,0.014,0.016,4255.0,2383.0,1.0
innovations[4664],-0.407,0.959,-2.225,1.34,0.016,0.018,3775.0,2130.0,1.0
innovations[4665],-0.337,0.967,-2.144,1.494,0.015,0.02,4343.0,1990.0,1.0
innovations[4666],-0.303,0.95,-2.078,1.476,0.015,0.016,4125.0,2402.0,1.0
innovations[4667],-0.236,0.957,-2.013,1.675,0.016,0.021,3686.0,1861.0,1.0
innovations[4668],-0.171,0.959,-2.024,1.56,0.017,0.019,3223.0,2126.0,1.0
innovations[4669],-0.156,0.947,-2.024,1.573,0.015,0.018,4080.0,2196.0,1.0
innovations[4670],-0.136,0.962,-1.979,1.622,0.016,0.017,3805.0,2406.0,1.0
innovations[4671],-0.059,0.955,-1.846,1.678,0.014,0.018,4875.0,2239.0,1.0
innovations[4672],-0.04,0.991,-1.894,1.72,0.017,0.02,3433.0,1887.0,1.0
innovations[4673],-0.007,0.986,-1.81,1.826,0.015,0.017,4376.0,2292.0,1.0
innovations[4674],-0.002,0.989,-1.887,1.798,0.015,0.024,4158.0,1845.0,1.0
innovations[4675],0.037,0.96,-1.883,1.683,0.014,0.019,4580.0,2053.0,1.0
innovations[4676],0.096,0.961,-1.681,1.88,0.015,0.018,3858.0,2150.0,1.0
innovations[4677],0.126,0.973,-1.778,1.917,0.015,0.018,4151.0,2298.0,1.0
innovations[4678],0.176,0.967,-1.483,2.084,0.014,0.018,4567.0,2161.0,1.0
innovations[4679],-0.152,0.932,-1.881,1.671,0.015,0.018,3905.0,2264.0,1.0
innovations[4680],-0.096,0.949,-1.786,1.735,0.013,0.019,5137.0,2106.0,1.0
innovations[4681],-0.075,0.985,-1.912,1.727,0.015,0.02,4528.0,2117.0,1.0
innovations[4682],-0.043,0.969,-1.818,1.771,0.014,0.021,4742.0,1881.0,1.0
innovations[4683],-0.007,0.956,-1.696,1.896,0.015,0.019,4233.0,2456.0,1.0
innovations[4684],0.049,0.939,-1.695,1.798,0.016,0.017,3614.0,2123.0,1.0
innovations[4685],0.081,0.967,-1.801,1.792,0.014,0.018,4694.0,2441.0,1.0
innovations[4686],0.127,0.984,-1.654,2.001,0.015,0.02,4589.0,2301.0,1.0
innovations[4687],0.164,0.961,-1.557,2.023,0.014,0.019,4438.0,2019.0,1.0
innovations[4688],0.199,1.002,-1.626,2.077,0.016,0.02,4151.0,2231.0,1.0
innovations[4689],0.24,0.955,-1.435,2.083,0.016,0.017,3705.0,2189.0,1.0
innovations[4690],0.296,0.965,-1.454,2.156,0.014,0.02,4627.0,2231.0,1.0
innovations[4691],0.33,0.965,-1.409,2.164,0.015,0.019,4048.0,2261.0,1.0
innovations[4692],0.413,0.926,-1.263,2.166,0.015,0.018,3779.0,2273.0,1.0
innovations[4693],0.431,0.947,-1.432,2.153,0.016,0.02,3526.0,2130.0,1.0
innovations[4694],0.196,0.939,-1.646,1.911,0.015,0.018,4117.0,2094.0,1.0
innovations[4695],0.244,0.977,-1.515,2.134,0.015,0.019,4475.0,2269.0,1.0
innovations[4696],0.36,0.971,-1.553,2.086,0.017,0.021,3313.0,1957.0,1.0
innovations[4697],0.084,0.948,-1.701,1.914,0.017,0.018,3153.0,1926.0,1.0
innovations[4698],0.197,0.969,-1.683,1.947,0.017,0.018,3436.0,2264.0,1.0
innovations[4699],-0.02,0.972,-1.752,1.853,0.015,0.018,4069.0,2249.0,1.0
innovations[4700],0.07,0.939,-1.581,1.96,0.015,0.021,3779.0,2044.0,1.0
innovations[4701],0.174,0.958,-1.609,1.968,0.015,0.018,4051.0,2361.0,1.0
innovations[4702],0.283,0.939,-1.362,2.088,0.016,0.017,3512.0,2158.0,1.0
innovations[4703],0.431,0.928,-1.213,2.261,0.015,0.016,3754.0,2124.0,1.0
innovations[4704],0.56,0.968,-1.223,2.361,0.016,0.019,3860.0,2247.0,1.0
innovations[4705],0.391,0.919,-1.435,2.03,0.016,0.017,3455.0,2273.0,1.0
innovations[4706],0.254,0.937,-1.543,1.973,0.016,0.022,3530.0,2202.0,1.0
innovations[4707],0.47,0.928,-1.29,2.198,0.017,0.019,2974.0,1834.0,1.0
innovations[4708],0.348,0.913,-1.298,2.087,0.016,0.016,3141.0,2320.0,1.0
innovations[4709],0.267,0.942,-1.511,2.022,0.016,0.021,3348.0,1736.0,1.0
innovations[4710],0.252,0.932,-1.467,2.014,0.014,0.018,4106.0,2243.0,1.01
innovations[4711],-0.1,0.909,-1.981,1.461,0.016,0.018,3303.0,2062.0,1.0
innovations[4712],0.23,0.901,-1.467,1.963,0.015,0.019,3637.0,1892.0,1.0
innovations[4713],0.199,0.937,-1.616,1.844,0.015,0.017,3835.0,2426.0,1.0
innovations[4714],0.248,0.917,-1.421,2.011,0.015,0.019,3637.0,2093.0,1.0
innovations[4715],0.643,0.897,-1.095,2.235,0.015,0.017,3336.0,1942.0,1.0
innovations[4716],0.44,0.894,-1.243,2.154,0.014,0.016,4015.0,2477.0,1.0
innovations[4717],0.322,0.887,-1.336,1.94,0.015,0.015,3485.0,1858.0,1.0
innovations[4718],-0.027,0.855,-1.622,1.572,0.013,0.017,4046.0,2344.0,1.0
innovations[4719],-0.123,0.89,-1.726,1.577,0.014,0.019,4365.0,2270.0,1.0
innovations[4720],-0.177,0.876,-1.774,1.543,0.015,0.018,3277.0,1900.0,1.0
innovations[4721],-0.295,0.883,-1.907,1.428,0.014,0.019,3973.0,2028.0,1.0
innovations[4722],-0.428,0.899,-2.129,1.262,0.015,0.016,3636.0,2102.0,1.0
innovations[4723],-0.335,0.899,-2.12,1.185,0.015,0.015,3569.0,2296.0,1.0
innovations[4724],-0.269,0.904,-1.974,1.454,0.014,0.017,3988.0,1974.0,1.0
innovations[4725],-0.269,0.924,-1.959,1.45,0.013,0.017,5032.0,2275.0,1.0
innovations[4726],-0.245,0.926,-2.036,1.443,0.015,0.018,4040.0,2145.0,1.0
innovations[4727],0.034,0.919,-1.626,1.803,0.015,0.018,3736.0,2128.0,1.0
innovations[4728],-0.022,0.977,-1.856,1.861,0.016,0.019,3881.0,2066.0,1.0
innovations[4729],-0.114,0.982,-1.937,1.743,0.016,0.019,3869.0,2338.0,1.0
innovations[4730],-0.127,0.963,-1.935,1.717,0.016,0.017,3810.0,2428.0,1.0
innovations[4731],-0.115,1.009,-1.951,1.855,0.016,0.021,3896.0,2013.0,1.0
innovations[4732],-0.105,0.991,-1.904,1.83,0.015,0.019,4251.0,2294.0,1.0
innovations[4733],-0.092,0.99,-1.834,1.832,0.015,0.02,4187.0,2098.0,1.0
innovations[4734],-0.117,0.992,-1.879,1.813,0.015,0.02,4215.0,2247.0,1.0
innovations[4735],-0.108,0.988,-1.992,1.763,0.015,0.022,4130.0,2243.0,1.0
innovations[4736],-0.103,0.987,-1.935,1.715,0.015,0.021,4306.0,1967.0,1.0
innovations[4737],-0.08,1.056,-2.12,1.899,0.016,0.021,4378.0,1926.0,1.0
innovations[4738],-0.119,1.033,-2.093,1.75,0.015,0.021,4995.0,2209.0,1.0
innovations[4739],-0.078,1.001,-1.919,1.791,0.015,0.02,4642.0,2037.0,1.0
innovations[4740],-0.102,1.037,-2.163,1.745,0.016,0.021,4226.0,1733.0,1.0
innovations[4741],-0.091,1.0,-1.858,1.884,0.015,0.02,4461.0,2355.0,1.0
innovations[4742],-0.128,1.014,-2.043,1.745,0.016,0.02,4134.0,1939.0,1.0
innovations[4743],-0.079,1.0,-1.95,1.735,0.015,0.019,4279.0,2049.0,1.0
innovations[4744],-0.087,1.036,-1.945,1.88,0.016,0.021,4412.0,2045.0,1.0
innovations[4745],-0.062,1.017,-2.135,1.712,0.016,0.018,3844.0,2283.0,1.0
innovations[4746],-0.102,0.991,-2.085,1.652,0.016,0.02,3835.0,2095.0,1.0
innovations[4747],-0.076,0.987,-1.943,1.686,0.014,0.021,4694.0,1681.0,1.0
innovations[4748],-0.073,0.987,-1.865,1.811,0.015,0.019,4097.0,1859.0,1.0
innovations[4749],-0.051,0.998,-1.964,1.735,0.017,0.018,3599.0,1923.0,1.0
innovations[4750],-0.053,0.984,-1.835,1.839,0.016,0.019,3763.0,2341.0,1.0
innovations[4751],-0.075,0.995,-2.026,1.713,0.016,0.019,3821.0,2323.0,1.0
innovations[4752],-0.037,1.028,-1.98,1.944,0.015,0.023,4599.0,2062.0,1.0
innovations[4753],-0.07,1.032,-1.884,1.918,0.016,0.023,4299.0,1996.0,1.0
innovations[4754],-0.084,1.008,-1.891,1.803,0.016,0.02,3800.0,2219.0,1.01
innovations[4755],-0.061,0.979,-1.963,1.679,0.014,0.02,4770.0,2266.0,1.0
innovations[4756],-0.087,1.015,-1.912,1.956,0.016,0.019,4146.0,1947.0,1.0
innovations[4757],-0.058,0.995,-2.015,1.671,0.014,0.018,4865.0,2431.0,1.0
